Load, Trial1, Trial2, Trial3, Trial4, Trial5, Trial6, Trial7, Trial8, Trial9, Trial10, Mean, StDev
0, 2.354555433589462, 2.3562736884101336, 2.363427773343974, 2.3601656851981243, 2.3614175193411526, 2.364353076193802, 2.3530526735834, 2.3539650872817957, 2.35284139100933, 2.353803941132453, 2.357385626908363, 0.004268926023971632
1, 1.7921996411968255, 1.7906722283010168, 1.7911957300512638, 1.7914609287781256, 1.7920429677519687, 1.7913989125061789, 1.7912167866346755, 1.7917562305944827, 1.7897291773122128, 1.7921112116987776, 1.7913783814825528, 0.0007128246092407266
2, 1.6917332150251405, 1.6906804733727812, 1.6931918982850385, 1.6897393233499725, 1.6862803075103492, 1.6867443150305046, 1.6922991607822842, 1.691255315215382, 1.688137849430558, 1.6937243445138863, 1.6903786202515896, 0.0024683114186729847
3, 1.6822920517560076, 1.686963916001183, 1.6819610307982402, 1.683535413278131, 1.6825408563188642, 1.68053090801538, 1.6789173999852103, 1.6815425571248983, 1.6816030760130138, 1.6806905985433844, 1.6820577807834312, 0.002026965641472963
4, 1.6792431892581703, 1.6807790478304296, 1.6789767209566882, 1.6805281992953645, 1.677329856005327, 1.682147315855181, 1.6823529411764706, 1.6832935693280806, 1.6807335885910881, 1.682843586115042, 1.6808228014411841, 0.0018023443080788324
5, 1.6813908107149191, 1.6782608695652173, 1.6770043036514486, 1.6823425022182787, 1.6769387664612245, 1.6822840409956075, 1.6812031409431702, 1.6859892668647714, 1.677757075680951, 1.6793256433007986, 1.6802496420396387, 0.0027602455887764075
6, 1.6803712056790032, 1.6802839291655882, 1.6797545104998521, 1.6834633443010834, 1.6786348173347136, 1.6800872522922212, 1.6816518170727197, 1.6802041722148247, 1.6775374376039933, 1.6817022220578992, 1.6803690708221897, 0.0015657136279525034
7, 1.6811883699546593, 1.682690173447062, 1.6784921691712638, 1.6836899667142178, 1.6797159793324248, 1.6794916489715717, 1.6804463606391071, 1.6812462362524168, 1.6813138038171327, 1.6816437834924058, 1.680991849179226, 0.0014567275759638514
8, 1.6806869572455123, 1.6793274699664291, 1.6800488305634937, 1.679361997226075, 1.6811397181222951, 1.68139457480446, 1.6800565927816462, 1.6800765752018423, 1.6781067058790888, 1.6810665334887076, 1.680126595527955, 0.000956467128996488
9, 1.6813910469848317, 1.678860384805131, 1.6810714814266685, 1.6803818545104714, 1.6796123686935938, 1.6804123711340206, 1.6805672009864365, 1.6806925808997633, 1.6806401499272559, 1.6801400774371746, 1.6803769516805347, 0.0006824808413465923
10, 1.679157525230364, 1.6792560424617275, 1.6793263748793965, 1.6792841791306636, 1.6790871187184553, 1.6792138282004037, 1.679199754310534, 1.6790871187184553, 1.679270111413282, 1.6792560424617275, 1.6792138095525009, 7.7347641900747e-05
