Load, Trial1, Trial2, Trial3, Trial4, Trial5, Trial6, Trial7, Trial8, Trial9, Trial10, Mean, StDev
0, 2.9419911114070385, 2.950718993409244, 2.9215255591054414, 2.9304210351139925, 2.9365203500948502, 2.9335596831103237, 2.915861105102923, 2.9387690566540283, 2.916638929569973, 2.9393455440767853, 2.9325351367644603, 0.010856500750290082
1, 1.6603490417553937, 1.6617689538707658, 1.6628617509216792, 1.6642443556047684, 1.6607866174486834, 1.6626170153866373, 1.6625432486707137, 1.6623652210624549, 1.6619475761540108, 1.6622870893046777, 1.6621770870179788, 0.00103013947239881
2, 1.5477031148904707, 1.5497504159733777, 1.5491153142159855, 1.5438447319778184, 1.5535364365733724, 1.5486846726933245, 1.5428159432078685, 1.5462326234841757, 1.5494064568618027, 1.5512664078387883, 1.5482356117716987, 0.0030801567847941265
3, 1.4987746210402106, 1.4949177768904052, 1.4996914252523053, 1.4912322102817308, 1.4982935773154704, 1.4956619595600247, 1.4942539169586606, 1.4962702143492383, 1.4954614770169201, 1.4944809556660987, 1.4959038134331064, 0.0023712811331588817
4, 1.4647318801910156, 1.4632201047922626, 1.4644513454724546, 1.4649658002735975, 1.4682848073555164, 1.4635361081465672, 1.4669102053660612, 1.4657245653155309, 1.4648642732049035, 1.4637833844133097, 1.4650472474531218, 0.001487453420554707
5, 1.4444299843831336, 1.4468689673123223, 1.4444685513440803, 1.443446375490898, 1.444707209650474, 1.4421612238255395, 1.4434707158351412, 1.443007766737537, 1.4445023223510007, 1.4434537368478142, 1.444051685377794, 0.0012087940165636131
6, 1.4299459027702137, 1.4266112492513205, 1.4301844321812376, 1.4315846796151752, 1.4282680895083577, 1.4264810007080482, 1.4276196354658337, 1.4282265822095577, 1.4276406533575319, 1.4307703477818918, 1.4287332572849167, 0.0016834304269613867
7, 1.4110305015991889, 1.4166211641367261, 1.4131475905963835, 1.4130333010829876, 1.4173987672622297, 1.4182581289396494, 1.4164937516576441, 1.4177888741515177, 1.4121978999266693, 1.4179551589097092, 1.4153925138262706, 0.002590503339487051
8, 1.4059340002174618, 1.4064054134847948, 1.4057693352899614, 1.4040879007379423, 1.4022340295424591, 1.4068512881834978, 1.4003478922621149, 1.4066665760758787, 1.4063298363863672, 1.410007610350076, 1.4054633882530556, 0.0025390180691679796
9, 1.3987045220655006, 1.390040438772792, 1.3997118364974817, 1.392483533514142, 1.3972614349015715, 1.398036034290696, 1.396897854409842, 1.397808716707022, 1.3962296133961332, 1.3982949247369123, 1.3965468909292094, 0.002848101712376278
10, 1.398051933965334, 1.3983036140396545, 1.3771804217651653, 1.3983210776338908, 1.3901957380322036, 1.3903809441166262, 1.3926099503135239, 1.3902772354549005, 1.3929478138222848, 1.3903423142001823, 1.3918611043343767, 0.0059042983465593755
