Load, Trial1, Trial2, Trial3, Trial4, Trial5, Trial6, Trial7, Trial8, Trial9, Trial10, Mean, StDev
0, 1.8947108255066736, 1.8954558954558958, 1.8943620178041538, 1.8975450405860226, 1.890493619546938, 1.888306292045904, 1.891969501930884, 1.8879873342568767, 1.8948463825569868, 1.894966309948474, 1.8930643219638807, 0.0030529746886996333
1, 1.4766852448560943, 1.4763788147048187, 1.4769470212229239, 1.477670901017101, 1.4768969357740525, 1.4757698348484127, 1.4750681775996723, 1.479046191190119, 1.4767649942412218, 1.4761483216014393, 1.4767376437055855, 0.001023371738614815
2, 1.5001267828843108, 1.5001267828843108, 1.5001426262242086, 1.5002139088273043, 1.500198070005863, 1.5001030159912516, 1.5001822301804872, 1.5002851711026617, 1.500039626559305, 1.5000317017499367, 1.500144991640964, 7.414239647191931e-05
3, 1.4998336106489183, 1.4997860504920837, 1.499817758268228, 1.49984153646246, 1.4997781229199023, 1.4998573873359955, 1.499730552209472, 1.4998573873359955, 1.4999207807845871, 1.4997860504920837, 1.4998209236949724, 5.0653420207956916e-05
4, 1.4996611620358813, 1.499631417496968, 1.4995421626571215, 1.4996730588612937, 1.499631417496968, 1.499607619319398, 1.4995957193816885, 1.499565967061062, 1.4995957193816885, 1.4996730588612937, 1.4996177302553364, 4.224285540434387e-05
5, 1.4991151775292744, 1.499049161190714, 1.499001996007984, 1.4990680247773613, 1.499049161190714, 1.4988887633254229, 1.4988982013372256, 1.4989925619056588, 1.4990208631467952, 1.4989265132396699, 1.499001042365082, 7.165714432416614e-05
6, 1.4987577835083967, 1.4988523456169036, 1.4988838583914985, 1.4988050690229868, 1.498742019687392, 1.4987971887234477, 1.4988287084348715, 1.4988050690229868, 1.4988208288786868, 1.4987499017218333, 1.4988042773009005, 4.308182491092221e-05
7, 1.4987383448703935, 1.4987180525193642, 1.4986436331736286, 1.4986368666828622, 1.4987383448703935, 1.4986639315501091, 1.4986571656072445, 1.4987112880372444, 1.4986977585252959, 1.4986436331736286, 1.4986849019010164, 3.820398138197085e-05
8, 1.498682266737576, 1.4986585668530097, 1.4986526415317338, 1.4986526415317338, 1.498676341976505, 1.4985696723249324, 1.4986704170753904, 1.498664492034227, 1.498676341976505, 1.4986526415317338, 1.4986556023573347, 3.0477554322176725e-05
9, 1.4985436842160604, 1.4985436842160604, 1.4985489569313595, 1.4985278654048368, 1.4985489569313595, 1.4986016779864162, 1.4986069494822059, 1.4986122208671517, 1.4985278654048368, 1.4985805908947534, 1.4985642452335042, 3.123085817362767e-05
10, 1.496968099129976, 1.496911255085129, 1.4969302045274775, 1.496901779828609, 1.496977571888594, 1.4969302045274775, 1.4970059880239521, 1.496987044290449, 1.496968099129976, 1.4970817486914938, 1.4969661995123134, 5.0265151819008714e-05
